Iterations,Susceptible,Infected,Recovered,Dead
0,2,0,0,0
Iterations,Susceptible,Infected,Recovered,Dead
0,9,0,0,0
Iterations,Susceptible,Infected,Recovered,Dead
0,16,0,0,0
Iterations,Susceptible,Infected,Recovered,Dead
304,17,0,5,2
Iterations,Susceptible,Infected,Recovered,Dead
1869,7,0,20,4
Iterations,Susceptible,Infected,Recovered,Dead
844,10,0,26,4
Iterations,Susceptible,Infected,Recovered,Dead
851,14,0,30,4
Iterations,Susceptible,Infected,Recovered,Dead
148,49,0,5,1
Iterations,Susceptible,Infected,Recovered,Dead
837,14,0,41,7
Iterations,Susceptible,Infected,Recovered,Dead
980,2,0,56,13
Iterations,Susceptible,Infected,Recovered,Dead
738,5,0,65,8
Iterations,Susceptible,Infected,Recovered,Dead
928,0,0,71,14
Iterations,Susceptible,Infected,Recovered,Dead
978,4,0,72,17
Iterations,Susceptible,Infected,Recovered,Dead
796,2,0,84,15
Iterations,Susceptible,Infected,Recovered,Dead
826,1,0,87,21
Iterations,Susceptible,Infected,Recovered,Dead
744,2,0,96,18
Iterations,Susceptible,Infected,Recovered,Dead
925,2,0,95,27
Iterations,Susceptible,Infected,Recovered,Dead
1049,4,0,99,28
Iterations,Susceptible,Infected,Recovered,Dead
772,2,0,111,25
Iterations,Susceptible,Infected,Recovered,Dead
750,1,0,129,18
Iterations,Susceptible,Infected,Recovered,Dead
740,2,0,132,21
Iterations,Susceptible,Infected,Recovered,Dead
999,1,0,136,25
Iterations,Susceptible,Infected,Recovered,Dead
1012,0,0,150,20
Iterations,Susceptible,Infected,Recovered,Dead
638,2,0,139,37
Iterations,Susceptible,Infected,Recovered,Dead
857,0,0,154,31
Iterations,Susceptible,Infected,Recovered,Dead
786,1,0,157,35
Iterations,Susceptible,Infected,Recovered,Dead
836,0,0,164,37
Iterations,Susceptible,Infected,Recovered,Dead
979,0,0,174,34
Iterations,Susceptible,Infected,Recovered,Dead
677,1,0,181,35
Iterations,Susceptible,Infected,Recovered,Dead
786,1,0,183,40
Iterations,Susceptible,Infected,Recovered,Dead
788,0,0,188,43
Iterations,Susceptible,Infected,Recovered,Dead
817,0,0,188,51
Iterations,Susceptible,Infected,Recovered,Dead
932,0,0,214,32
Iterations,Susceptible,Infected,Recovered,Dead
853,0,0,214,41
